step_index,t_s,solve_time_ms,solve_iterations,solve_converged
0,0.001,0.08779199561104178,10,False
1,0.002,0.05283299833536148,10,False
2,0.003,0.04975000047124922,10,False
3,0.004,0.04816698492504656,10,False
4,0.005,0.08808300481177866,10,False
5,0.006,0.05195799167267978,10,False
6,0.007,0.04820901085622609,10,False
7,0.008,0.046542001655325294,10,False
8,0.009000000000000001,0.046542001655325294,10,False
9,0.010000000000000002,0.04616600926965475,10,False
10,0.011000000000000003,0.04600000102072954,10,False
11,0.012000000000000004,0.04920799983665347,10,False
12,0.013000000000000005,0.05445801070891321,10,False
13,0.014000000000000005,0.04712500958703458,10,False
14,0.015000000000000006,0.04616699879989028,10,False
15,0.016000000000000007,0.04691598587669432,10,False
16,0.017000000000000008,0.04679101402871311,10,False
17,0.01800000000000001,0.04562499816529453,10,False
18,0.01900000000000001,0.04645899753086269,10,False
19,0.02000000000000001,0.0457499991171062,10,False
